,level_0,Unnamed: 0,index,time_stamp,user_id,grade,pre_score,adjusted_improvement,anxiety,complete,user_message,chatbot_message,hint_id,action,positive_feedback,stage,pos,neg,help,failed_attempts,reward,model_name,index,p_hint,p_nothing,p_encourage,p_question,model_round
50,38,146,157,2020-11-09 00:28:33.923267+00:00,177,-1.0,0.0,0,-0.05555555555555555,True,okay never mind,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",38,hint,,0.3333333333333333,-0.025999999999999912,-1.0,-0.04970761862237239,-1.0,0.01,model-11-08-2020-20:49:45-PST-0.meta,50,0.484,0.067,0.291,0.158,1
51,39,147,158,2020-11-09 00:28:46.639983+00:00,177,-1.0,0.0,0,-0.05555555555555555,True,okay thanks,"If you multiply the weight per chocolate with the number of chocolates, you will get how much the box of chocolates weighs.",33,hint,,0.3333333333333333,1.0,-1.0,-0.1528205347590037,-1.0,-0.016,model-11-08-2020-20:49:45-PST-0.meta,51,0.332,0.067,0.295,0.306,1
52,73,181,161,2020-11-10 00:17:00.316285+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,Im stuck could you please help me Yeti?,Try thinking about the concept of volume to solve this problem.,64,question,True,0.0,-0.16599999999999993,-0.6659999999999999,1.0,-0.6,0.1,model-11-09-2020-22:12:20-PST-1.meta,52,0.664,0.104,0.209,0.023,2
53,60,168,162,2020-11-10 00:20:13.167126+00:00,188,1.0,-0.25,0,0.3888888888888889,True,Great!,You can move your mouse close to the box to turn it into a chocolate!,40,hint,True,-1.0,1.0,-1.0,-0.13746133121776716,-1.0,0.11,model-11-09-2020-22:12:20-PST-1.meta,53,0.316,0.103,0.37,0.211,2
54,74,182,163,2020-11-10 00:20:56.239816+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,I need help,The people in the village need you! Keep working hard.,85,encourage,True,0.0,0.46,-1.0,1.0,-0.5,0.1,model-11-09-2020-22:12:20-PST-1.meta,54,0.548,0.132,0.272,0.048,2
55,75,183,164,2020-11-10 00:21:25.702949+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,Im sorry I need help,This problem doesn’t stand a chance against us!,87,encourage,,0.0,-0.09999999999999998,-0.5660000000000001,1.0,-0.5,0.0,model-11-09-2020-22:12:20-PST-1.meta,55,0.612,0.129,0.233,0.026,2
56,76,184,165,2020-11-10 00:21:53.952359+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,(I didn't mean the 2nd helpful part) But please I need help,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,0.0,-0.012000000000000009,-1.0,1.0,-0.5,0.0,model-11-09-2020-22:12:20-PST-1.meta,56,0.609,0.113,0.251,0.027,2
57,77,185,166,2020-11-10 00:22:10.783901+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,I need help,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",83,encourage,,0.0,0.46,-1.0,1.0,-0.5,0.0,model-11-09-2020-22:12:20-PST-1.meta,57,0.548,0.132,0.272,0.048,2
58,78,186,167,2020-11-10 00:22:34.852682+00:00,198,1.0,-0.5,0,-0.6666666666666666,False, Im stuck please help me,This problem doesn’t stand a chance against us!,87,encourage,,0.0,0.1120000000000001,-0.556,1.0,-0.5,0.0,model-11-09-2020-22:12:20-PST-1.meta,58,0.582,0.137,0.248,0.033,2
59,61,169,168,2020-11-10 00:23:31.194181+00:00,188,1.0,-0.25,0,0.3888888888888889,True,this is hard,"You’ve just about got it. Don’t give up, yet!",81,encourage,True,-0.3333333333333333,-1.0,-0.17599999999999993,1.0,-0.7,0.1,model-11-09-2020-22:12:20-PST-1.meta,59,0.273,0.408,0.287,0.032,2
60,79,187,169,2020-11-10 00:24:20.148672+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,I don't know,"You’ve just about got it. Don’t give up, yet!",81,encourage,,0.0,-1.0,-1.0,1.0,-0.5,0.0,model-11-09-2020-22:12:20-PST-1.meta,60,0.709,0.102,0.173,0.016,2
61,80,188,170,2020-11-10 00:25:47.726446+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,Can I have some help?,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,72,encourage,,0.0,-0.05200000000000005,-1.0,1.0,-0.4,0.0,model-11-09-2020-22:12:20-PST-1.meta,61,0.576,0.134,0.262,0.028,2
62,81,189,171,2020-11-10 00:25:51.727303+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,Im stuck ,:),51,nothing,,0.0,-1.0,0.3340000000000001,1.0,-0.4,0.0,model-11-09-2020-22:12:20-PST-1.meta,62,0.597,0.221,0.163,0.019,2
63,62,170,172,2020-11-10 00:26:03.426538+00:00,188,1.0,-0.25,0,0.3888888888888889,True,can I,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,,0.0,-1.0,-1.0,-0.03631975872291016,-0.8,-0.016,model-11-09-2020-22:12:20-PST-1.meta,63,0.906,0.015,0.06,0.019,2
64,82,190,173,2020-11-10 00:26:31.886136+00:00,198,1.0,-0.5,0,-0.6666666666666666,False,Im stuck could you please help me Yeti?,:),51,nothing,,0.0,-0.16599999999999993,-0.6659999999999999,1.0,-0.4,-8.0,model-11-09-2020-22:12:20-PST-1.meta,64,0.579,0.148,0.247,0.026,2
65,69,177,174,2020-11-10 02:00:32.226141+00:00,195,-1.0,0.0,3,0.3333333333333333,True,,You can move your mouse close to the box to turn it into a chocolate!,40,hint,,-1.0,-1.0,-1.0,-1.0,-1.0,0.01,model-11-09-2020-22:12:20-PST-1.meta,65,0.389,0.107,0.419,0.085,2
66,70,178,175,2020-11-10 02:01:09.456481+00:00,195,-1.0,0.0,3,0.3333333333333333,True,Ok! Thanks!,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,72,encourage,True,-1.0,1.0,-1.0,-0.10634730232532263,-1.0,3.0869999999999997,model-11-09-2020-22:12:20-PST-1.meta,66,0.087,0.127,0.625,0.161,2
67,64,172,176,2020-11-10 02:10:24.528389+00:00,193,1.0,0.25,1,-0.5555555555555556,True,do you think it is 3? i think it is 3,:),51,nothing,True,-1.0,-1.0,-1.0,1.0,-1.0,0.1,model-11-09-2020-22:12:20-PST-1.meta,67,0.245,0.339,0.393,0.023,2
68,65,173,177,2020-11-10 02:11:10.110716+00:00,193,1.0,0.25,1,-0.5555555555555556,True,hmm,You can move your mouse close to the box to turn it into a chocolate!,37,hint,True,-0.6666666666666666,-1.0,-1.0,-0.2440956209304104,-1.0,0.11,model-11-09-2020-22:12:20-PST-1.meta,68,0.892,0.028,0.065,0.015,2
69,66,174,179,2020-11-10 02:12:07.886503+00:00,193,1.0,0.25,1,-0.5555555555555556,True,i am a bit confused...,"Hey, let’s think this through together. I know we can do it!",78,encourage,True,-0.3333333333333333,-1.0,-1.0,1.0,-1.0,0.1,model-11-09-2020-22:12:20-PST-1.meta,69,0.577,0.203,0.188,0.032,2
70,67,175,180,2020-11-10 02:12:24.972857+00:00,193,1.0,0.25,1,-0.5555555555555556,True,"i think it is 6, but i am not sure...",You can move your mouse close to the box to turn it into a chocolate!,21,hint,True,-0.3333333333333333,-1.0,-1.0,-0.025070957037865216,-1.0,0.11,model-11-09-2020-22:12:20-PST-1.meta,70,0.907,0.028,0.05,0.015,2
71,68,176,178,2020-11-10 02:13:05.940133+00:00,193,1.0,0.25,1,-0.5555555555555556,True,90 is what I think it is,Try thinking about the concept of volume to solve this problem.,64,question,True,0.0,-1.0,-1.0,1.0,-1.0,1.074,model-11-09-2020-22:12:20-PST-1.meta,71,0.734,0.107,0.132,0.027,2
72,51,159,181,2020-11-10 03:37:29.372490+00:00,184,0.0,0.5,2,-0.7222222222222222,True,"I need a hint, not all of those choclate fit in the length of the box.","The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",86,encourage,,-0.3333333333333333,-0.6779999999999999,-1.0,1.0,-1.0,2.0,model-11-09-2020-22:12:20-PST-1.meta,72,0.255,0.354,0.336,0.055,2
73,52,160,182,2020-11-10 04:04:40.873631+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,ok,I’m so glad you’re here to help. I know you can solve this problem!,84,encourage,True,-0.6666666666666666,1.0,-1.0,-0.10634730232532263,-1.0,0.1,model-11-09-2020-22:12:20-PST-1.meta,73,0.569,0.04,0.342,0.049,2
74,53,161,183,2020-11-10 04:06:14.633184+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,I am not sure how to answer this question,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",24,hint,,0.0,-1.0,-0.562,1.0,-1.0,0.01,model-11-09-2020-22:12:20-PST-1.meta,74,0.712,0.075,0.2,0.013,2
75,54,162,187,2020-11-10 04:07:57.748092+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,I am still not sure how to answer this question,I love a good challenge. Let’s regroup and think about this some more.,82,encourage,,0.0,-1.0,-0.6060000000000001,1.0,-0.7,0.0,model-11-09-2020-22:12:20-PST-1.meta,75,0.614,0.102,0.27,0.014,2
76,55,163,184,2020-11-10 04:08:04.569881+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,ok,We need to solve this problem to stop the natural disaster. I believe in you!,80,encourage,,0.0,1.0,-1.0,-0.10634730232532263,-0.7,0.0,model-11-09-2020-22:12:20-PST-1.meta,76,0.775,0.023,0.157,0.045,2
77,56,164,185,2020-11-10 04:08:20.073791+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,I don't know how to do it,A unit cube is a cube of which each side is 1 unit long. The volume of a unit cube is one cubic unit.,25,hint,,0.0,-1.0,-1.0,1.0,-0.7,0.01,model-11-09-2020-22:12:20-PST-1.meta,77,0.632,0.086,0.268,0.014,2
78,57,165,188,2020-11-10 04:09:37.245396+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,I still don't know,"You won't be able to calculate volume by dragging the chocolate over the box, since it's three-dimensional! Try to use an equation to find the volume:",27,hint,,0.0,-1.0,-1.0,1.0,-0.4,0.01,model-11-09-2020-22:12:20-PST-1.meta,78,0.516,0.134,0.336,0.014,2
79,58,166,186,2020-11-10 04:11:08.603502+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,I tried but it still is not right,Think about how to calculate volume with multiplication.,28,hint,,0.0,-1.0,-1.0,-0.03631975872291016,0.2,0.01,model-11-09-2020-22:12:20-PST-1.meta,79,0.811,0.03,0.148,0.011,2
80,59,167,189,2020-11-10 04:11:54.251284+00:00,186,0.0,-1.0,1,-0.6111111111111112,True,thank you,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,73,encourage,,0.0,0.42800000000000016,-1.0,-0.03507275024388678,0.3,0.948,model-11-09-2020-22:12:20-PST-1.meta,80,0.634,0.063,0.284,0.019,2
81,83,191,190,2020-11-10 17:57:39.155865+00:00,199,-1.0,1.0,0,-0.4444444444444444,True,Ok.,You can move your mouse close to the box to turn it into a chocolate!,40,hint,True,-1.0,1.0,-1.0,-0.10634730232532263,-1.0,0.11,model-11-10-2020-17:37:42-PST-2.meta,81,0.107,0.165,0.535,0.193,3
